AnophelesalbimanusSTECLA.nb_genes	12616
AnophelesalbimanusSTECLA.nb_included_genes	668
AnophelesalbimanusSTECLA.nb_ncRNA_gene	252
AnophelesalbimanusSTECLA.nb_protein_coding_gene	11696
AnophelesalbimanusSTECLA.nb_noncoding_genes	252
AnophelesalbimanusSTECLA.nb_missing_coding_seq	0
AnophelesalbimanusSTECLA.nb_off_target_genes	109
AnophelesalbimanusSTECLA.nb_kept_genes	11587
AnophelesaquasalisidAnoAquaMGQ19.nb_genes	12989
AnophelesaquasalisidAnoAquaMGQ19.nb_included_genes	1196
AnophelesaquasalisidAnoAquaMGQ19.nb_ncRNA_gene	1193
AnophelesaquasalisidAnoAquaMGQ19.nb_protein_coding_gene	10501
AnophelesaquasalisidAnoAquaMGQ19.nb_pseudogene	99
AnophelesaquasalisidAnoAquaMGQ19.nb_noncoding_genes	1292
AnophelesaquasalisidAnoAquaMGQ19.nb_missing_coding_seq	62
AnophelesaquasalisidAnoAquaMGQ19.nb_off_target_genes	9975
AnophelesaquasalisidAnoAquaMGQ19.nb_kept_genes	464
AnophelesarabiensisDongola.nb_genes	13649
AnophelesarabiensisDongola.nb_included_genes	668
AnophelesarabiensisDongola.nb_ncRNA_gene	284
AnophelesarabiensisDongola.nb_protein_coding_gene	12697
AnophelesarabiensisDongola.nb_noncoding_genes	284
AnophelesarabiensisDongola.nb_missing_coding_seq	0
AnophelesarabiensisDongola.nb_off_target_genes	12697
AnophelesarabiensisDongola.nb_kept_genes	0
AnophelesatroparvusEBRO.nb_genes	14041
AnophelesatroparvusEBRO.nb_included_genes	888
AnophelesatroparvusEBRO.nb_ncRNA_gene	225
AnophelesatroparvusEBRO.nb_protein_coding_gene	12928
AnophelesatroparvusEBRO.nb_noncoding_genes	225
AnophelesatroparvusEBRO.nb_missing_coding_seq	1
AnophelesatroparvusEBRO.nb_off_target_genes	697
AnophelesatroparvusEBRO.nb_kept_genes	12230
AnopheleschristyiACHKN1017.nb_genes	11209
AnopheleschristyiACHKN1017.nb_included_genes	331
AnopheleschristyiACHKN1017.nb_ncRNA_gene	297
AnopheleschristyiACHKN1017.nb_protein_coding_gene	10581
AnopheleschristyiACHKN1017.nb_noncoding_genes	297
AnopheleschristyiACHKN1017.nb_missing_coding_seq	0
AnopheleschristyiACHKN1017.nb_off_target_genes	10581
AnopheleschristyiACHKN1017.nb_kept_genes	0
AnophelescoluzziiNgousso.nb_genes	13235
AnophelescoluzziiNgousso.nb_included_genes	900
AnophelescoluzziiNgousso.nb_ncRNA_gene	367
AnophelescoluzziiNgousso.nb_protein_coding_gene	11968
AnophelescoluzziiNgousso.nb_noncoding_genes	367
AnophelescoluzziiNgousso.nb_missing_coding_seq	0
AnophelescoluzziiNgousso.nb_off_target_genes	11968
AnophelescoluzziiNgousso.nb_kept_genes	0
AnophelescruziiidAnoCruzASRS3206.nb_genes	12401
AnophelescruziiidAnoCruzASRS3206.nb_included_genes	558
AnophelescruziiidAnoCruzASRS3206.nb_ncRNA_gene	356
AnophelescruziiidAnoCruzASRS3206.nb_protein_coding_gene	11384
AnophelescruziiidAnoCruzASRS3206.nb_pseudogene	103
AnophelescruziiidAnoCruzASRS3206.nb_noncoding_genes	459
AnophelescruziiidAnoCruzASRS3206.nb_missing_coding_seq	20
AnophelescruziiidAnoCruzASRS3206.nb_off_target_genes	10553
AnophelescruziiidAnoCruzASRS3206.nb_kept_genes	811
AnophelesculicifaciesA37.nb_genes	14729
AnophelesculicifaciesA37.nb_included_genes	534
AnophelesculicifaciesA37.nb_ncRNA_gene	302
AnophelesculicifaciesA37.nb_protein_coding_gene	13893
AnophelesculicifaciesA37.nb_noncoding_genes	302
AnophelesculicifaciesA37.nb_missing_coding_seq	0
AnophelesculicifaciesA37.nb_off_target_genes	13893
AnophelesculicifaciesA37.nb_kept_genes	0
AnophelesdarlingiCoari.nb_genes	11005
AnophelesdarlingiCoari.nb_included_genes	128
AnophelesdarlingiCoari.nb_ncRNA_gene	370
AnophelesdarlingiCoari.nb_protein_coding_gene	10507
AnophelesdarlingiCoari.nb_noncoding_genes	370
AnophelesdarlingiCoari.nb_missing_coding_seq	0
AnophelesdarlingiCoari.nb_off_target_genes	10507
AnophelesdarlingiCoari.nb_kept_genes	0
AnophelesdirusWRAIR2.nb_genes	13250
AnophelesdirusWRAIR2.nb_included_genes	568
AnophelesdirusWRAIR2.nb_ncRNA_gene	255
AnophelesdirusWRAIR2.nb_protein_coding_gene	12427
AnophelesdirusWRAIR2.nb_noncoding_genes	255
